VendorID,vendorName,productID,productName,productPrice
A-V000,Golden Fork Supplies,A-P0001,Almond Milk Unsweetened,56.53
A-V000,Golden Fork Supplies,A-P0002,Roasted Garlic Puree,26.52
A-V000,Golden Fork Supplies,A-P0003,Tomato Basil Sauce,54.21
A-V000,Golden Fork Supplies,A-P0004,Roasted Garlic Puree,89.71
A-V000,Golden Fork Supplies,A-P0005,Organic Chicken Breast,154.17
A-V000,Golden Fork Supplies,A-P0006,Almond Milk Unsweetened,39.54
A-V000,Golden Fork Supplies,A-P0007,Cheddar Cheese Slices,28.38
A-V000,Golden Fork Supplies,A-P0008,Sun-Dried Tomatoes,111.88
A-V000,Golden Fork Supplies,A-P0009,Basmati Rice 5kg,167.59
A-V000,Golden Fork Supplies,A-P0010,Fresh Roma Tomatoes,18.71
A-V000,Golden Fork Supplies,A-P0011,Fresh Roma Tomatoes,172.51
A-V000,Golden Fork Supplies,A-P0012,Truffle Aioli Sauce,40.9
A-V000,Golden Fork Supplies,A-P0013,Fresh Roma Tomatoes,125.73
A-V000,Golden Fork Supplies,A-P0014,Frozen Shrimp 1kg,97.83
A-V000,Golden Fork Supplies,A-P0015,Roasted Garlic Puree,51.73
A-V001,OceanCatch Ltd.,A-P0016,Mozzarella Cheese Block,162.96
A-V001,OceanCatch Ltd.,A-P0017,Brown Sugar 2kg,176.51
A-V001,OceanCatch Ltd.,A-P0018,Cheddar Cheese Slices,178.09
A-V001,OceanCatch Ltd.,A-P0019,Smoked Turkey Slices,151.55
A-V001,OceanCatch Ltd.,A-P0020,Cheddar Cheese Slices,78.78
A-V001,OceanCatch Ltd.,A-P0021,Fresh Roma Tomatoes,153.6
A-V001,OceanCatch Ltd.,A-P0022,Whole Grain Pasta,123.32
A-V001,OceanCatch Ltd.,A-P0023,Sun-Dried Tomatoes,110.53
A-V001,OceanCatch Ltd.,A-P0024,Premium Olive Oil,139.52
A-V001,OceanCatch Ltd.,A-P0025,Ground Beef 80/20,31.19
A-V001,OceanCatch Ltd.,A-P0026,Almond Milk Unsweetened,194.66
A-V001,OceanCatch Ltd.,A-P0027,Basmati Rice 5kg,169.92
A-V001,OceanCatch Ltd.,A-P0028,Frozen Shrimp 1kg,112.48
A-V001,OceanCatch Ltd.,A-P0029,Greek Yogurt 1L,13.7
A-V001,OceanCatch Ltd.,A-P0030,Smoked Turkey Slices,176.82
A-V002,GreenLeaf Organics,A-P0031,Whole Wheat Burger Buns,135.35
